butter,soybeans,meat
cheese,rice,fish
cheese,soybeans,chicken
butter,wheat,meat
milk,beans,chicken
cheese,wheat,chicken
milk,rice,fish
bread,beans,chicken
cheese,beans,chicken
bread,rice,meat
milk,rice,chicken
butter,wheat,fish
butter,wheat,egg
butter,beans,chicken
bread,soybeans,egg
cheese,soybeans,fish
cheese,wheat,fish
cheese,wheat,egg
cheese,beans,egg
cheese,beans,egg
bread,soybeans,egg
cheese,beans,egg
milk,beans,fish
bread,beans,chicken
milk,beans,fish
milk,soybeans,fish
cheese,soybeans,fish
milk,soybeans,egg
bread,wheat,meat
cheese,soybeans,chicken
butter,wheat,chicken
cheese,soybeans,chicken
cheese,rice,fish
bread,beans,chicken
bread,soybeans,meat
bread,soybeans,fish
cheese,beans,egg
bread,wheat,meat
cheese,rice,fish
cheese,beans,meat
bread,rice,fish
cheese,rice,meat
cheese,beans,egg
cheese,wheat,egg
butter,beans,meat
milk,soybeans,meat
bread,wheat,meat
milk,wheat,egg
cheese,rice,egg
bread,soybeans,meat
cheese,rice,meat
milk,wheat,egg
cheese,beans,egg
cheese,rice,meat
milk,wheat,meat
cheese,beans,meat
butter,soybeans,fish
cheese,rice,meat
milk,rice,meat
cheese,beans,meat
bread,soybeans,meat
bread,beans,egg
milk,beans,meat
bread,rice,egg
butter,beans,meat
milk,soybeans,egg
bread,soybeans,chicken
milk,soybeans,egg
bread,beans,chicken
milk,rice,chicken
bread,soybeans,fish
bread,wheat,egg
butter,soybeans,meat
cheese,soybeans,chicken
milk,beans,egg
milk,wheat,meat
cheese,soybeans,fish
bread,soybeans,fish
bread,rice,chicken
cheese,wheat,fish
butter,beans,chicken
milk,soybeans,meat
butter,wheat,chicken
milk,rice,chicken
bread,wheat,fish
milk,soybeans,egg
milk,beans,chicken
milk,soybeans,meat
butter,beans,chicken
cheese,rice,egg
milk,wheat,fish
bread,beans,chicken
bread,beans,fish
butter,soybeans,egg
milk,beans,chicken
cheese,soybeans,egg
milk,soybeans,egg
butter,wheat,meat
cheese,soybeans,chicken
bread,beans,meat
butter,soybeans,meat
milk,beans,chicken
bread,rice,egg
milk,soybeans,chicken
milk,rice,chicken
milk,beans,chicken
butter,beans,meat
butter,beans,egg
milk,beans,meat
milk,rice,fish
bread,beans,meat
bread,rice,chicken
cheese,wheat,egg
butter,wheat,chicken
butter,beans,fish
butter,wheat,fish
butter,wheat,fish
cheese,soybeans,egg
cheese,rice,meat
butter,rice,meat
milk,wheat,egg
cheese,beans,egg
cheese,rice,meat
butter,beans,chicken
cheese,rice,meat
butter,rice,meat
bread,rice,fish
butter,rice,fish
milk,rice,fish
cheese,wheat,egg
bread,soybeans,meat
milk,beans,fish
milk,rice,egg
milk,soybeans,chicken
bread,beans,chicken
butter,wheat,meat
butter,beans,chicken
bread,beans,chicken
bread,beans,meat
milk,soybeans,fish
butter,wheat,egg
bread,rice,fish
cheese,beans,meat
butter,soybeans,fish
cheese,soybeans,fish
cheese,rice,fish
butter,beans,egg
cheese,soybeans,egg
butter,rice,meat
milk,rice,chicken
cheese,rice,fish
milk,rice,fish
bread,wheat,fish
milk,beans,chicken
butter,rice,egg
cheese,rice,meat
butter,wheat,meat
milk,soybeans,egg
cheese,soybeans,fish
milk,rice,meat
cheese,wheat,chicken
cheese,rice,chicken
bread,soybeans,fish
milk,wheat,chicken
bread,rice,egg
cheese,wheat,chicken
cheese,beans,fish
bread,rice,chicken
bread,beans,chicken
butter,soybeans,chicken
cheese,soybeans,egg
milk,wheat,fish
bread,rice,fish
cheese,rice,fish
cheese,beans,fish
milk,beans,fish
cheese,rice,egg
butter,wheat,egg
milk,rice,chicken
bread,soybeans,chicken
butter,rice,chicken
bread,rice,meat
butter,soybeans,fish
butter,rice,fish
bread,beans,egg
cheese,wheat,chicken
cheese,rice,fish
butter,soybeans,egg
bread,wheat,chicken
butter,wheat,fish
bread,rice,chicken
cheese,soybeans,egg
cheese,rice,meat
cheese,rice,egg
bread,beans,egg
butter,wheat,chicken
cheese,soybeans,meat
bread,soybeans,egg
bread,rice,meat
milk,rice,egg
cheese,beans,egg
bread,rice,meat
milk,wheat,meat
cheese,beans,fish
cheese,beans,fish
bread,soybeans,chicken
milk,beans,meat
butter,wheat,chicken
bread,soybeans,chicken
cheese,soybeans,meat
milk,beans,meat
butter,beans,chicken
milk,wheat,chicken
milk,wheat,chicken
bread,soybeans,fish
milk,soybeans,chicken
bread,rice,fish
butter,soybeans,fish
milk,wheat,chicken
cheese,rice,meat
butter,beans,chicken
bread,soybeans,chicken
cheese,soybeans,egg
bread,rice,chicken
bread,soybeans,fish
milk,soybeans,meat
cheese,soybeans,chicken
bread,rice,meat
milk,wheat,egg
bread,soybeans,egg
butter,soybeans,egg
cheese,beans,chicken
butter,beans,chicken
